,,LIvro de Preço,,,,,
C.INTERNO,PRODUTO,,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000220,BOTA COURO IMBISEG S/BIQ. TAM 44,7899717102557,UN,,DIVERSOS,60.00
0000221,BOTA BORRACHA VULCABRAS PT TAM ,7890858268270,UN,,DIVERSOS,50.00
0000222,ARMARIO BANHEIRO BELLART ,7898436366240,UN, ,DIVERSOS,70.00
0000223,KIT BANHEIRO 5 PECAS BR DELICATO,7908027007749,UN, ,DIVERSOS,40.60
0000224,KIT BANHEIRO 5 PECAS BR/CRISTAL ,7908027007763,UN,15171,DIVERSOS,90.00
0000225,ARMARIO BANHEIRO/BRANCO HERC,7898059547149,UN,30757,DIVERSOS,55.00
0000226,VERNIZ PREMIUM BRILHANTE MOGNO ,7891696007946,UN, ,DIVERSOS,12.03
0000227,CAIXA DE PASSASEM 30X30,1000000227468,UN, ,DIVERSOS,115.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000228,VERNIZ PREMIUM BRILHANTE IMBUIA ,7891696000862,UN, ,DIVERSOS,12.03
0000229,ESMALTE SINT. ALUMINIO 1125ML,7891696013640,UN, ,DIVERSOS,8.01
0000230,DACAR ESMALTE SINTENTICO ,7897560712978,UN,078013,DIVERSOS,9.50
0000232,CAIXA DE DIJUNTOR 6/8,7898011978691,UN, ,DIVERSOS,21.36
0000233,CAIXA DE DIJUNTOR THOMPSON 3 OU ,7898011978684,UN,QUADRO,DIVERSOS,20.00
0000234,DRYKOPRIMER ACQUA,7898959829352,UN, ,DIVERSOS,22.00
0000236,EUCAFER CINZA 900ML,7896587013471,UN, ,DIVERSOS,42.00
0000237,FECHADURA POPLINE BAN CROMADO ,7892327011820,UN,1820,DIVERSOS,45.00
0000238,VALVULA INOX 31/2,0735201156132,UN,21104,DIVERSOS,15.00
0000239,ROMA ROLO ESPUMA 5CM,7891595000116,UN,430-05,DIVERSOS,4.00
0000240,UNIVERSO ESMALTE SINT. BRANCO ,7891696011677,UN, ,DIVERSOS,8.00
0000241,UNIVERSO ESMALTE SINT. TABACO ,7891696011813,UN, ,DIVERSOS,6.01
0000242,UNIVERSO ESMALTE SINT. PRETO ,7891696011875,UN, ,DIVERSOS,8.00
0000243,EXTRALUX 01125 AZUL FRANCA,7896834031920,UN, ,DIVERSOS,5.00
0000244,HIDRALAR AMARELO 1125ML,7897144008268,UN, ,DIVERSOS,6.01
0000245,HIDRALAR VERDE FOLHA 1125ML,7897144008237,UN, ,DIVERSOS,6.01
0000246,XADREZ ALPLA AZUL,7898105220149,UN, ,DIVERSOS,16.02
0000247,XADREZ MARROM 250G,7898105220163,UN, ,DIVERSOS,16.02
0000248,XADREZ VERDE 250G,7891106002196,UN, ,DIVERSOS,16.02
0000249,ESMALTE SINTETICO UNIVERSAL ,7891696008301,UN, ,DIVERSOS,28.00
0000250,DACOL ESMALTE SINT. CERAMICA ,41314115000031,UN, ,DIVERSOS,26.00
